State,2014,2015,2016,2017,2018,2019,Mean
Aguascalientes,"978,8","812,6","594,9","1.576,3","1.197,0","452,1","935,3"
Baja California,"1.223,3","1.167,3","1.567,1","1.678,9","1.631,2","1.183,7","1.408,6"
Baja California Sur,"228,7","352,0","510,8","568,9","443,1","465,0","428,1"
Campeche,"218,6","543,0","142,2","328,3","123,5","151,9","251,2"
Chiapas,"36,6","270,1","139,8","217,1","70,2","256,6","165,1"
Chihuahua,"1.936,6","2.524,5","1.986,1","1.825,3","1.241,9","1.407,0","1.820,2"
Ciudad de México,"6.126,8","5.909,2","6.750,1","5.106,3","5.836,9","8.777,9","6.417,9"
Coahuila de Zaragoza,"1.625,5","1.367,2","1.209,6","2.672,5","3.290,2","1.492,1","1.942,9"
Colima,"195,6","165,3","-24,2","132,2","90,7","41,4","100,2"
Durango,"155,9","231,1","275,9","131,1","391,1","178,5","227,3"
Estado de México,"3.581,4","2.959,7","2.407,8","3.761,4","2.333,8","2.933,0","2.996,2"
Guanajuato,"1.317,9","1.752,8","1.332,6","1.677,9","2.469,8","796,0","1.557,8"
Guerrero,"479,4","164,1","180,7","410,4","402,2","275,5","318,7"
Hidalgo,"-66,1","523,7","444,6","349,4","186,5","283,9","287,0"
Jalisco,"1.684,6","3.138,4","2.102,3","1.552,9","1.014,8","1.570,6","1.843,9"
Michoacán de Ocampo,"211,5","419,0","193,9","294,7","437,1","298,0","309,0"
Morelos,"356,5","484,8","234,9","603,1","251,9","655,6","431,1"
Nayarit,"105,8","99,0","85,6","103,1","188,6","170,4","125,4"
Nuevo León,"1.578,7","3.362,5","3.346,0","1.996,2","3.675,7","3.274,6","2.872,3"
Oaxaca,"482,8","297,2","195,5","484,8","487,8","56,6","334,1"
Puebla,"1.057,2","791,5","1.166,5","953,6","643,9","2.044,0","1.109,4"
Querétaro,"1.128,7","1.442,5","1.075,5","986,0","1.227,6","1.169,1","1.171,6"
Quintana Roo,"223,9","325,3","296,5","479,3","591,5","664,1","430,1"
San Luis Potosí,"1.064,8","1.899,1","814,9","1.405,9","1.766,4","853,8","1.300,8"
Sinaloa,"400,0","428,7","434,9","761,6","415,0","262,6","450,4"
Sonora,"815,3","610,0","506,4","368,1","155,1","449,6","484,1"
Tabasco,"241,7","737,5","112,8","400,4","530,3","490,6","418,9"
Tamaulipas,"723,9","1.103,2","1.149,5","1.543,2","1.514,5","1.629,9","1.277,4"
Tlaxcala,"120,7","152,5","253,1","168,0","143,1","345,7","197,2"
Veracruz,"1.271,3","1.589,1","1.045,5","914,9","962,1","1.080,6","1.143,9"
Yucatán,"86,1","213,5","125,1","107,8","86,0","160,0","129,8"
Zacatecas,"758,9","107,6","532,6","457,6","301,7","746,5","484,2"